658,how to edit privacy policy
2013-01-16T17:09:33Z,commit,ability to specify explicitly preferred JDK installation to be used t¡­,github.com/JetBrains/intellij-community/pull/658/commits/fcbe5c1d8bdd0c50e0ed844ef2053df121c67f0d
2013-01-17T06:08:27Z,commit,IDEA-96415 Groovy code style: 'next line' for class class declaration¡­,github.com/JetBrains/intellij-community/pull/658/commits/fbf4f8e74c27729667c1b620bafc412f158f9e0d
2013-01-17T06:38:35Z,commit,IDEA-99080 Incorrect Groovy stubs generated by IDEA in case of vararg¡­,github.com/JetBrains/intellij-community/pull/658/commits/2db4f7b64fe08a348770766c6f2320876e99924f
2013-01-17T11:03:22Z,commit,New in 12,github.com/JetBrains/intellij-community/pull/658/commits/f644b97b01fbc398826bd272f43f5ed05a917a47
2013-01-17T11:08:48Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/dbe88374b2c4b22e685ade0a35475439686dc88d
2013-01-17T12:15:41Z,commit,IDEA-99237 Property precedence is not the same when filtering resourc¡­,github.com/JetBrains/intellij-community/pull/658/commits/eb9d1f415419287e987cd5f2ec7fc7b90427432f
2013-01-17T16:34:14Z,commit,additional trace inserted,github.com/JetBrains/intellij-community/pull/658/commits/e7529f9aa0168c7e32a463431e289025ac6c433e
2013-01-17T16:39:54Z,commit,Merge remote-tracking branch 'origin/123' into 123,github.com/JetBrains/intellij-community/pull/658/commits/89eaab2ae26ac6ee3111c4fad6de35421dfffe59
2013-01-17T14:39:19Z,commit,[r=Peter.Gromov] IDEA-99248 Freeze by deadlock,github.com/JetBrains/intellij-community/pull/658/commits/a85c7f70561a7e9cd2a7aaa71539e3c6ec36b91d
2013-01-17T14:19:54Z,commit,[r=Peter.Gromov] do not do invokeLater on disposed animator,github.com/JetBrains/intellij-community/pull/658/commits/c5fa3006763fc087d7d54c63ea36c866882a834b
2013-01-17T16:50:52Z,commit,[r=Peter.Gromov] correct dispose of parameter info controller upon ed¡­,github.com/JetBrains/intellij-community/pull/658/commits/4a94e6fe902b0e06c964ab55e971d7bf60e7a45b
2013-01-17T16:53:33Z,commit,"[r=Peter.Gromov] avoid project memory leak, no need for extension poi¡­",github.com/JetBrains/intellij-community/pull/658/commits/b70aad4c011d80d7530b11020306df3ba6cd2084
2013-01-18T07:35:10Z,commit,Fix spelling.,github.com/JetBrains/intellij-community/pull/658/commits/a71598768b1630336a0dd2c9e84637c4f76a776e
2013-01-18T14:17:58Z,commit,RUBY-12696 Darcula theme has dark symbols against an already dark bac¡­,github.com/JetBrains/intellij-community/pull/658/commits/2abd1b6acf6cea7fe9f58fb3a798e266d773f9d4
